,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
HATS-72b,HATS-72b,medium,5,2,2,2,0,0,2,0,1,0,-0.2,2020AJ....159..173H,14.8,3.09,2458124.28757,4.5e-05,-4.5e-05,BJD_TDB,Days,7.3279496,1.4e-06,-1.4e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.56,False,0.07,-0.05,Degrees,0.0,0.0,-0.0,Degrees,0.1029,False,0.00034,-0.00034,None,19.821,False,0.048,-0.048,None,2020AJ....159..173H,0.0,0.0,-0.0,0.0,0.0012,-0.0012,HATS-72,22:36:06.3189,-16:59:59.788,12.469,12.147,12.073,4.59,0.0,-0.0,cm/s2,0.099,0.014,-0.014,dex Fe/H or M/H,4656.1,8.9,-8.9,Kelvin,2020AJ....159..173H,5.97,5.97,40.55,2458124.28757,4.5e-05,7.3279496,1.4e-06
HD1397b,HD1397b,high,2,0,0,0,0,0,2,0,0,0,0.0,2019AJ....158...45B,2.7,8.56,2458332.0826,0.0006,-0.0006,BJD_TDB,Days,11.5353,0.0008,-0.0008,Days,2019A&A...623A.100N,0.22,0.03,-0.03,88.7,False,0.9,-1.0,Degrees,35.3,8.9,-9.5,Degrees,0.0449,False,0.0004,-0.0004,None,9.2,False,0.4,-0.4,None,2019AJ....158...45B,0.0,0.0,-0.0,0.0,0.0002,-0.0002,HD1397,00:17:47.1522,-66:21:32.064,7.78,7.355,7.593,3.79,0.01,-0.01,cm/s2,0.04,0.05,-0.05,dex Fe/H or M/H,5474.0,80.0,-80.0,Kelvin,2019AJ....158...45B,9.81,8.5,100.82,2458332.0826,0.0006,11.5353,0.0008
HD2685b,HD2685b,high,19,2,2,2,0,0,17,0,0,0,-2.36,2019A&A...625A..16J,11.66,4.49,2458726.093504,8.9e-05,-8.9e-05,BJD_TDB,Days,4.1269052,1e-06,-1e-06,Days,2022arXiv220909673K,0.091,0.039,-0.047,89.25,False,0.41,-0.44,Degrees,184.36,6.27,-6.56,Degrees,0.09467,False,0.00033,-0.00033,None,7.697,False,0.069,-0.054,None,2019A&A...625A..16J,0.0,0.0,-0.0,0.0,0.00012,-0.00012,HD2685,00:29:18.9527,-76:18:14.623,9.59,9.348,9.52,4.21,0.03,-0.03,cm/s2,0.02,0.06,-0.06,dex Fe/H or M/H,6801.0,76.0,-76.0,Kelvin,2019A&A...625A..16J,5.0,5.0,133.33,2458726.093504,8.9e-05,4.1269052,1e-06
HD3167b,HD3167b,high,0,0,0,0,0,0,0,0,0,0,0.0,2016ApJ...829L...9V,0.38,1.64,2457394.3745,0.0004,-0.0004,BJD_TDB,Days,0.959641,1.2e-05,-1.2e-05,Days,2017AJ....154..122C,0.0,0.0,-0.0,83.4,False,4.6,-7.7,Degrees,0.0,0.0,-0.0,Degrees,0.0174,False,0.0017,-0.0017,None,4.1,False,0.5,-1.0,None,2017AJ....154..122C,0.0,0.0,-0.0,0.0,0.0,-0.0,HD3167,00:34:57.5243,+04:22:53.283,8.94,8.4,8.762,4.52,0.03,-0.03,cm/s2,0.0,0.08,-0.08,dex Fe/H or M/H,5370.0,50.0,-50.0,Kelvin,2016ApJ...829L...9V,103.98,90.05,4.18,2457394.3745,0.0004,0.959641,1.2e-05
HD5278b,HD5278b,high,9,0,0,0,0,0,9,0,0,0,1.79,2021A&A...648A..75S,0.45,4.81,2458695.03676,0.00069,-0.00069,BJD_TDB,Days,14.339169,3.6e-05,-3.6e-05,Days,2022arXiv220909673K,0.08,0.09,-0.05,89.27,False,0.47,-0.48,Degrees,135.0,34.0,-280.0,Degrees,0.01874,False,0.0003,-0.0003,None,21.2,True,1.3,-1.0,None,2021A&A...648A..75S,0.0,0.0,-0.0,0.0,0.00036,-0.00036,HD5278,00:50:09.9047,-83:44:38.033,7.95,7.606,7.804,4.5,0.11,-0.11,cm/s2,-0.12,0.04,-0.04,dex Fe/H or M/H,6203.0,64.0,-64.0,Kelvin,2021A&A...648A..75S,64.41,55.78,11.5,2458695.03676,0.00069,14.339169,3.6e-05
HD15337c,HD15337c,high,0,0,0,0,0,0,0,0,0,0,0.0,2019ApJ...876L..24G,0.63,2.4,2458414.5501,0.0015,-0.0015,BJD_TDB,Days,17.1784,0.0016,-0.0016,Days,2019ApJ...876L..24G,0.05,0.06,-0.04,88.5,False,0.2,-0.1,Degrees,329.0,69.0,-64.0,Degrees,0.0256,False,0.0011,-0.0011,None,31.87,False,0.7,-0.7,None,2019ApJ...876L..24G,0.0,0.0,-0.0,0.0,0.0,-0.0,HD15337,02:27:28.3781,-27:38:06.736,9.09,8.605,8.856,4.53,0.02,-0.02,cm/s2,0.15,0.1,-0.1,dex Fe/H or M/H,5125.0,50.0,-50.0,Kelvin,2019ApJ...876L..24G,58.51,50.67,8.53,2458414.5501,0.0015,17.1784,0.0016
HD17156b,HD17156b,high,17,0,3,0,3,0,3,0,8,0,0.0,2007ApJ...669.1336F,6.89,3.13,2455499.305815,8.2e-05,-8.2e-05,BJD_TDB,Days,21.2164387,1.1e-06,-1.1e-06,Days,2022arXiv220909673K,0.677,0.003,-0.003,86.49,False,0.24,-0.2,Degrees,121.7,0.4,-0.4,Degrees,0.0745,False,0.0003,-0.0003,None,23.2,False,0.3,-0.3,None,2011ApJ...726....3N,0.0,0.0,-0.0,0.0,0.00024,-0.00024,HD17156,02:49:44.4866,+71:45:11.632,8.16,7.824,8.033,4.22,0.05,-0.05,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,6100.0,75.0,-75.0,Kelvin,2009A&A...503..601B,5.0,5.0,132.06,2455499.305815,8.2e-05,21.2164387,1.1e-06
HD28109c,HD28109c,high,0,0,0,0,0,0,0,0,0,0,0.0,2022MNRAS.515.1328D,0.88,8.97,2458377.80109,0.00724,-0.00724,BJD_TDB,Days,56.00819,0.00194,-0.00194,Days,2022MNRAS.515.1328D,0.0,0.0,0.0,89.543,False,0.093,-0.086,Degrees,0.0,0.0,0.0,Degrees,0.02632,False,0.00027,-0.00027,None,45.76188461196509,False,21.130606943298304,-14.317059562480075,None,2022MNRAS.515.1328D,0.0,0.0,-0.0,0.0,0.0,-0.0,HD28109,04:20:57.1321,-68:06:09.514,9.38,9.104,9.3,4.13,0.1,-0.1,cm/s2,0.0,0.1,-0.1,dex Fe/H or M/H,6120.0,50.0,-50.0,Kelvin,2022MNRAS.515.1328D,36.74,31.81,16.52,2458377.80109,0.00724,56.00819,0.00194
HD28109d,HD28109d,high,0,0,0,0,0,0,0,0,0,0,0.0,2022MNRAS.515.1328D,0.51,10.14,2458355.67324,0.00432,-0.00432,BJD_TDB,Days,84.25999,0.00744,-0.00744,Days,2022MNRAS.515.1328D,0.0,0.0,0.0,89.682,False,0.093,-0.082,Degrees,0.0,0.0,0.0,Degrees,0.01999,False,0.00035,-0.00035,None,61.07977665026642,False,45.26450026772758,-25.643255583093378,None,2022MNRAS.515.1328D,0.0,0.0,-0.0,0.0,0.0,-0.0,HD28109,04:20:57.1321,-68:06:09.514,9.38,9.104,9.3,4.13,0.1,-0.1,cm/s2,0.0,0.1,-0.1,dex Fe/H or M/H,6120.0,50.0,-50.0,Kelvin,2022MNRAS.515.1328D,62.71,54.3,10.17,2458355.67324,0.00432,84.25999,0.00744
HD63433b,HD63433b,medium,13,0,0,0,0,0,13,0,0,0,-0.1,2020AJ....160..179M,0.62,3.22,2459342.92881,0.00047,-0.00047,BJD_TDB,Days,7.107939,1.1e-05,-1.1e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.38,False,0.43,-0.64,Degrees,0.0,0.0,-0.0,Degrees,0.02161,False,0.00055,-0.00055,None,16.95,False,0.34,-0.82,None,2020AJ....160..179M,0.0,0.0,-0.0,0.0,0.00026,-0.00026,HD63433,07:49:55.0604,+27:21:47.458,6.91,6.491,6.718,4.515,0.042,-0.042,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5640.0,74.0,-74.0,Kelvin,2020AJ....160..179M,45.99,39.83,17.89,2459342.92881,0.00047,7.107939,1.1e-05
HD63433c,HD63433c,medium,4,0,0,0,0,0,4,0,0,0,-0.01,2020AJ....160..179M,0.9,4.06,2459296.02303,0.00013,-0.00013,BJD_TDB,Days,20.543806,8.3e-06,-8.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.147,False,0.069,-0.2,Degrees,0.0,0.0,-0.0,Degrees,0.02687,False,0.0007,-0.0007,None,34.38,False,0.69,-2.0,None,2020AJ....160..179M,0.0,0.0,-0.0,0.0,0.00031,-0.00031,HD63433,07:49:55.0604,+27:21:47.458,6.91,6.491,6.718,4.515,0.042,-0.042,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5640.0,74.0,-74.0,Kelvin,2020AJ....160..179M,30.4,26.33,29.36,2459296.02303,0.00013,20.543806,8.3e-06
HD63935b,HD63935b,high,4,0,0,0,0,0,4,0,0,0,0.0,2021AJ....162..215S,1.02,3.36,2458494.4462,0.001,-0.001,BJD_TDB,Days,9.058811,1.7e-05,-1.7e-05,Days,2021AJ....162..215S,0.0,0.0,-0.0,88.49,False,0.002,-0.002,Degrees,0.0,0.0,-0.0,Degrees,0.0285,False,0.0004,-0.0004,None,18.64,False,1.1,-1.1,None,2021AJ....162..215S,0.0,0.0,-0.0,0.0,0.00057,-0.00057,HD63935,07:51:41.9965,+09:23:09.793,8.58,8.1,8.394,4.38,0.1,-0.1,cm/s2,0.07,0.06,-0.06,dex Fe/H or M/H,5534.0,100.0,-100.0,Kelvin,2021AJ....162..215S,31.72,27.47,18.14,2458494.4462,0.001,9.058811,1.7e-05
HD63935c,HD63935c,alert,2,0,0,0,0,0,2,0,0,0,-15.98,2021AJ....162..215S,0.84,4.84,2459231.828,0.0014,-0.0014,BJD_TDB,Days,21.4023,0.0019,-0.0019,Days,2021AJ....162..215S,0.0,0.0,-0.0,88.241,False,0.0011,-0.0013,Degrees,0.0,0.0,-0.0,Degrees,0.0277,False,0.0004,-0.0004,None,24.1,True,0.8,-0.8,None,2021AJ....162..215S,0.0,0.0,-0.0,0.0,0.0007,-0.0007,HD63935,07:51:41.9965,+09:23:09.793,8.58,8.1,8.394,4.38,0.1,-0.1,cm/s2,0.07,0.06,-0.06,dex Fe/H or M/H,5534.0,100.0,-100.0,Kelvin,2021AJ....162..215S,36.25,31.4,18.5,2459231.828,0.0014,21.4023,0.0019
HD73583b,HD73583b,high,0,0,0,0,0,0,0,0,0,0,0.0,2022MNRAS.514.1606B,1.87,2.23,2458517.69013,0.00056,-0.00056,BJD_TDB,Days,6.398042,6.7e-06,-6.7e-06,Days,2022MNRAS.514.1606B,0.09,0.09,-0.06,88.37,False,0.18,-0.18,Degrees,284.0,234.0,-86.0,Degrees,0.03932,False,0.00066,-0.00066,None,19.98,False,0.61,-0.63,None,2022MNRAS.514.1606B,0.0,0.0,-0.0,0.0,0.0,-0.0,HD73583,08:38:45.2603,-13:15:24.092,9.63,9.001,9.27,4.62,0.12,-0.12,cm/s2,0.0,0.09,-0.09,dex Fe/H or M/H,4511.0,110.0,-110.0,Kelvin,2022MNRAS.514.1606B,21.21,18.37,20.69,2458517.69013,0.00056,6.398042,6.7e-06
HD73583c,HD73583c,high,0,0,0,0,0,0,0,0,0,0,0.0,2022MNRAS.514.1606B,1.58,3.74,2459232.1682,0.0019,-0.0019,BJD_TDB,Days,18.87974,0.00086,-0.00086,Days,2022MNRAS.514.1606B,0.08,0.11,-0.06,89.72,False,0.2,-0.27,Degrees,318.4,52.8,-47.7,Degrees,0.03368,False,0.00089,-0.00089,None,41.11,False,1.25,-1.3,None,2022MNRAS.514.1606B,0.0,0.0,-0.0,0.0,0.0,-0.0,HD73583,08:38:45.2603,-13:15:24.092,9.63,9.001,9.27,4.62,0.12,-0.12,cm/s2,0.0,0.09,-0.09,dex Fe/H or M/H,4511.0,110.0,-110.0,Kelvin,2022MNRAS.514.1606B,22.57,19.55,22.01,2459232.1682,0.0019,18.87974,0.00086
HD80606b,HD80606b,alert,4,1,4,1,0,0,0,0,0,0,20.45,2001A&A...375L..27N,10.33,11.89,2455210.6428,0.001,-0.001,BJD_TDB,Days,111.4367,0.0004,-0.0004,Days,2010A&A...516A..95H,0.933,0.0005,-0.0005,89.269,False,0.018,-0.018,Degrees,300.77,0.15,-0.15,Degrees,0.1001,False,0.0006,-0.0006,None,97.0,False,1.6,-1.6,None,2010A&A...516A..95H,0.0,0.0,-0.0,0.0,0.0,-0.0,HD80606,09:22:37.5769,+50:36:13.434,9.0,8.586,8.82,4.46,0.2,-0.2,cm/s2,0.32,0.09,-0.09,dex Fe/H or M/H,5574.0,72.0,-72.0,Kelvin,2013A&A...558A.106M,5.0,5.0,301.17,2455210.6428,0.001,111.4367,0.0004
HD86226c,HD86226c,high,11,0,0,0,0,0,11,0,0,0,0.04,2020AJ....160...96T,0.41,2.45,2458698.6559,0.00065,-0.00065,BJD_TDB,Days,3.9846654,9.2e-06,-9.2e-06,Days,2022arXiv220909673K,0.075,0.065,-0.048,86.45,False,0.26,-0.16,Degrees,196.0,60.0,-90.0,Degrees,0.0188,False,0.0019,-0.0019,None,10.11,False,0.07,-0.08,None,2020AJ....160...96T,0.0,0.0,-0.0,0.0,0.00047,-0.00047,HD86226,09:56:29.8441,-24:05:57.795,7.93,7.71,7.771,4.4,0.03,-0.03,cm/s2,0.018,0.057,-0.043,dex Fe/H or M/H,5863.0,88.0,-88.0,Kelvin,2020AJ....160...96T,80.86,70.03,7.8,2458698.6559,0.00065,3.9846654,9.2e-06
HD89345b,HD89345b,medium,9,0,0,0,0,0,9,0,0,0,0.05,2018MNRAS.478.4866V,1.76,5.62,2459118.8724,0.0012,-0.0012,BJD_TDB,Days,11.814417,1.9e-05,-1.9e-05,Days,2022arXiv220909673K,0.2,0.03,-0.03,87.9,False,0.3,-0.3,Degrees,345.1,20.0,-20.0,Degrees,0.0378,False,0.0006,-0.0006,None,14.68,True,0.19,-0.19,None,2018MNRAS.478.4866V,0.03671,0.0005,-0.0005,0.03671,0.00051,-0.00051,HD89345,10:18:41.0578,+10:07:44.504,9.38,8.984,9.217,4.04,0.01,-0.0,cm/s2,0.45,0.04,-0.04,dex Fe/H or M/H,5499.0,73.0,-73.0,Kelvin,2018MNRAS.478.4866V,19.0,16.45,28.6,2459118.8724,0.0012,11.814417,1.9e-05
HD97658b,HD97658b,high,24,0,1,0,0,0,2,0,21,0,-0.13,2011ApJ...730...10H,1.32,2.84,2457339.205224,9.8e-05,-9.8e-05,BJD_TDB,Days,9.4893037,1.6e-06,-1.6e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.8,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.0311,False,0.0008,-0.0008,None,26.2,False,1.2,-1.2,None,2014ApJ...794..155K,0.0,0.0,-0.0,0.0,0.00092,-0.00092,HD97658,11:14:33.1613,+25:42:37.391,7.714,7.259,7.514,4.63,0.06,-0.06,cm/s2,-0.23,0.03,-0.03,dex Fe/H or M/H,5170.0,44.0,-44.0,Kelvin,2011ApJ...730...10H,23.39,20.25,29.38,2457339.205224,9.8e-05,9.4893037,1.6e-06
HD106315c,HD106315c,alert,8,0,0,0,0,0,2,0,6,0,-34.83,2017AJ....153..255C,1.17,4.67,2458432.34123,0.00056,-0.00056,BJD_TDB,Days,21.056614,5.4e-05,-5.4e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.4,False,0.4,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.0303,False,0.0016,-0.0016,None,33.4,False,1.9,-5.3,None,2017AJ....153..255C,0.03655,0.00029,-0.00029,0.03655,0.0013,-0.0013,HD106315,12:13:53.3965,-00:23:36.554,8.951,8.706,8.888,4.29,0.07,-0.07,cm/s2,-0.24,0.04,-0.04,dex Fe/H or M/H,6290.0,60.0,-60.0,Kelvin,2017AJ....153..255C,28.19,24.42,18.79,2458432.34123,0.00056,21.056614,5.4e-05
HD108236b,HD108236b,high,9,0,0,0,0,0,8,0,1,0,3.8,2021AJ....161...85D,0.34,2.41,2459027.674,0.015,-0.015,BJD_TDB,Days,3.79666,0.00017,-0.00017,Days,2022arXiv220909673K,0.2,0.3,-0.14,87.88,False,1.3,-0.87,Degrees,190.0,140.0,-140.0,Degrees,0.01638,False,0.00095,-0.00095,None,11.35,False,0.34,-0.34,None,2021AJ....161...85D,0.0,0.0,-0.0,0.0,0.00093,-0.00093,HD108236,12:26:17.8916,-51:21:46.214,9.24,8.865,9.087,4.5,0.5,-0.5,cm/s2,-0.3,0.5,-0.5,dex Fe/H or M/H,5730.0,50.0,-50.0,Kelvin,2021AJ....161...85D,112.23,97.19,3.79,2459027.674,0.015,3.79666,0.00017
