,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
55Cnce,55Cnce,medium,93,0,1,0,0,0,91,0,1,0,0.02,2004ApJ...614L..81M,0.45,1.56,2459370.807543,9.3e-05,-9.3e-05,BJD_TDB,Days,0.73654625,1.5e-07,-1.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.6,False,0.6,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.0187,False,0.0004,-0.0004,None,3.47,False,0.07,-0.07,None,2019A&A...631A.129S,0.0,0.0,-0.0,0.0,9.8e-05,-9.8e-05,55Cnc,08:52:35.8113,+28:19:50.956,5.96,5.4,5.714,4.45,0.08,-0.08,cm/s2,0.31,0.04,-0.04,dex Fe/H or M/H,5234.0,30.0,-30.0,Kelvin,2011A&A...533A.114D,71.29,61.74,11.24,2459370.807543,9.3e-05,0.73654625,1.5e-07
AUMicb,AUMicb,high,0,0,0,0,0,0,0,0,0,0,0.0,2020Natur.582..497P,3.32,3.51,2458330.39051,0.00015,-0.00015,BJD_TDB,Days,8.463,2e-06,-2e-06,Days,2021A&A...649A.177M,0.0,0.0,-0.0,89.5,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.0496,False,0.0007,-0.0007,None,19.1,False,0.3,-0.3,None,2021A&A...649A.177M,0.0,0.0,-0.0,0.0,0.0,-0.0,AUMic,20:45:09.5323,-31:20:27.241,8.627,9.078,7.84,4.387,0.061,-0.061,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3700.0,100.0,-100.0,Kelvin,2020Natur.582..497P,11.0,9.53,83.51,2458330.39051,0.00015,8.463,2e-06
AUMicc,AUMicc,high,0,0,0,0,0,0,0,0,0,0,0.0,2021A&A...649A.177M,1.96,4.51,2458342.2223,0.0005,-0.0005,BJD_TDB,Days,18.859019,1.6e-05,-1.6e-05,Days,2021A&A...649A.177M,0.0,0.0,-0.0,89.0,False,0.5,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.0395,False,0.0011,-0.0011,None,29.0,False,3.0,-3.0,None,2021A&A...649A.177M,0.0,0.0,-0.0,0.0,0.0,-0.0,AUMic,20:45:09.5323,-31:20:27.241,8.627,9.078,7.84,4.387,0.061,-0.061,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3700.0,100.0,-100.0,Kelvin,2021A&A...649A.177M,17.86,15.46,57.23,2458342.2223,0.0005,18.859019,1.6e-05
CoRoT-1b,CoRoT-1b,low,12,12,12,12,0,0,0,0,0,0,0.47,2008A&A...482L..17B,24.56,2.51,2456268.99119,0.00012,-0.00012,BJD_TDB,Days,1.50896877,8e-08,-8e-08,Days,2022ApJS..259...62I,0.0,0.0,0.0,85.1,False,0.5,-0.5,Degrees,0.0,0.0,0.0,Degrees,0.1388,False,0.0021,-0.0021,None,4.92,False,0.08,-0.08,None,2008A&A...482L..17B,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-1,06:48:19.1723,-03:06:07.710,13.6,13.44,13.457,4.25,0.3,-0.3,cm/s2,-0.3,0.25,-0.25,dex Fe/H or M/H,5950.0,150.0,-150.0,Kelvin,2008A&A...482L..17B,9.23,9.23,20.77,2456268.99119,0.00012,1.50896877,8e-08
CoRoT-2b,CoRoT-2b,low,47,6,40,6,0,0,0,0,7,0,0.08,2008A&A...482L..21A,36.99,2.28,2457683.44158,0.00016,-0.00016,BJD_TDB,Days,1.74299705,1.5e-07,-1.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.84,False,0.1,-0.1,Degrees,0.0,0.0,-0.0,Degrees,0.1667,False,0.0006,-0.0006,None,6.7,False,0.03,-0.03,None,2008A&A...482L..21A,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-2,19:27:06.4944,+01:23:01.357,12.568,12.204,12.249,4.42,0.12,-0.12,cm/s2,0.03,0.06,-0.06,dex Fe/H or M/H,5696.0,70.0,-70.0,Kelvin,2010A&A...517A..40C,6.08,6.08,73.02,2457683.44158,0.00016,1.74299705,1.5e-07
CoRoT-5b,CoRoT-5b,low,6,6,6,6,0,0,0,0,0,0,4.46,2009A&A...506..281R,14.93,2.77,2456665.4696,0.00065,-0.00065,BJD_TDB,Days,4.0379156,1.2e-06,-1.2e-06,Days,2022ApJS..259...62I,0.0,0.0,0.0,85.68,False,0.18,-0.17,Degrees,0.0,0.0,0.0,Degrees,0.1155,False,0.00083,-0.00083,None,9.54,False,0.2,-0.19,None,2019MNRAS.483..824R,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-5,06:45:06.5406,+00:48:54.905,14.018,13.82,13.902,4.19,0.03,-0.03,cm/s2,-0.25,0.06,-0.06,dex Fe/H or M/H,6100.0,65.0,-65.0,Kelvin,2009A&A...506..281R,10.62,10.62,10.13,2456665.4696,0.00065,4.0379156,1.2e-06
CoRoT-10b,CoRoT-10b,high,0,0,0,0,0,0,0,0,0,0,0.0,2010A&A...520A..65B,15.32,3.02,2454273.3443,0.0012,-0.0012,BJD_TDB,Days,13.2406,0.0002,-0.0002,Days,2010A&A...520A..65B,0.53,0.04,-0.04,88.55,False,0.2,-0.2,Degrees,218.9,6.4,-6.4,Degrees,0.127,False,0.004,-0.004,None,31.3,False,2.1,-2.1,None,2010A&A...520A..65B,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-10,19:24:15.2868,+00:44:46.003,15.216,15.48,14.665,4.65,0.1,-0.1,cm/s2,0.26,0.07,-0.07,dex Fe/H or M/H,5075.0,75.0,-75.0,Kelvin,2010A&A...520A..65B,20.56,20.56,8.76,2454273.3443,0.0012,13.2406,0.0002
CoRoT-11b,CoRoT-11b,medium,28,0,23,0,4,0,0,0,1,0,-0.46,2010A&A...524A..55G,11.76,2.49,2456019.9622,0.00037,-0.00037,BJD_TDB,Days,2.99427803,4.9e-07,-4.9e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.17,False,0.15,-0.15,Degrees,0.0,0.0,-0.0,Degrees,0.107,False,0.0005,-0.0005,None,6.89,False,0.08,-0.08,None,2010A&A...524A..55G,0.0,0.0,-0.0,0.0,0.0,-0.0,CoRoT-11,18:42:44.9499,+05:56:15.652,12.939,12.622,12.841,4.22,0.23,-0.23,cm/s2,-0.03,0.08,-0.08,dex Fe/H or M/H,6440.0,120.0,-120.0,Kelvin,2010A&A...524A..55G,7.9,6.95,15.98,2456019.9622,0.00037,2.99427803,4.9e-07
CoRoT-19b,CoRoT-19b,high,19,0,0,0,0,0,11,0,8,0,0.0,2012A&A...537A.136G,8.08,4.7,2455701.7154,0.00048,-0.00048,BJD_TDB,Days,3.8971379,1.6e-06,-1.6e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.0,False,0.7,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.0786,False,0.0004,-0.0004,None,6.7,False,0.1,-0.1,None,2012A&A...537A.136G,0.0,0.0,-0.0,0.0,0.0022,-0.0022,CoRoT-19,06:28:08.0586,-00:10:14.532,14.007,14.17,13.783,4.07,0.03,-0.03,cm/s2,-0.02,0.1,-0.1,dex Fe/H or M/H,6090.0,70.0,-70.0,Kelvin,2012A&A...537A.136G,17.81,15.43,8.56,2455701.7154,0.00048,3.8971379,1.6e-06
DSTucAb,DSTucAb,high,0,0,0,0,0,0,0,0,0,0,0.0,2019ApJ...880L..17N,3.93,3.18,2458332.31077,0.00026,-0.00026,BJD_TDB,Days,8.138268,1.1e-05,-1.1e-05,Days,2019ApJ...880L..17N,0.0,0.0,-0.0,89.5,False,0.34,-0.41,Degrees,0.0,0.0,-0.0,Degrees,0.05419,False,0.00024,-0.00024,None,20.35,False,0.29,-0.69,None,2019ApJ...880L..17N,0.0,0.0,-0.0,0.0,0.0,-0.0,DSTucA,23:39:39.4809,-69:11:44.709,8.47,9.28,8.319,4.478,0.053,-0.053,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5428.0,80.0,-80.0,Kelvin,2019ApJ...880L..17N,9.77,8.47,69.25,2458332.31077,0.00026,8.138268,1.1e-05
EPIC211945201b,EPIC211945201b,medium,7,0,0,0,0,0,7,0,0,0,0.17,2018AJ....156....3C,1.65,3.91,2458094.44793,0.00024,-0.00024,BJD_TDB,Days,19.4921498,7.7e-06,-7.7e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.9,False,0.06,-0.06,Degrees,0.0,0.0,-0.0,Degrees,0.0407,False,0.0003,-0.0003,None,23.1,False,0.5,-0.5,None,2018AJ....156....3C,0.04192,0.00034,-0.00034,0.04192,0.00095,-0.00095,EPIC211945201,09:06:17.7565,+19:24:08.051,10.15,9.847,10.051,4.25,0.1,-0.1,cm/s2,0.1,0.1,-0.1,dex Fe/H or M/H,6025.0,100.0,-100.0,Kelvin,2018AJ....156....3C,24.76,21.44,14.67,2458094.44793,0.00024,19.4921498,7.7e-06
EPIC246851721b,EPIC246851721b,medium,20,3,5,3,0,0,15,0,0,0,-0.14,2018AJ....156..250Y,5.39,4.1,2458439.87506,0.00025,-0.00025,BJD_TDB,Days,6.1802679,2e-06,-2e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.21,False,0.17,-0.17,Degrees,0.0,0.0,-0.0,Degrees,0.068,False,0.003,-0.003,None,9.8,False,0.17,-0.17,None,2018AJ....156..250Y,0.07294,0.00028,-0.00028,0.07294,0.00055,-0.00055,EPIC246851721,05:15:40.7537,+16:16:43.518,11.24,11.034,11.255,4.16,0.02,-0.02,cm/s2,0.14,0.08,-0.09,dex Fe/H or M/H,6202.0,52.0,-50.0,Kelvin,2018AJ....156..250Y,9.8,8.49,24.9,2458439.87506,0.00025,6.1802679,2e-06
G9-40b,G9-40b,medium,20,1,1,1,0,0,18,0,1,0,-0.39,2020AJ....159..100S,4.26,1.33,2458319.65105,0.00013,-0.00013,BJD_TDB,Days,5.7459996,2e-06,-2e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.57,False,0.63,-0.47,Degrees,0.0,0.0,-0.0,Degrees,0.0605,False,0.0026,-0.0026,None,27.0,False,5.4,-3.7,None,2020AJ....159..100S,0.06027,0.00037,-0.00037,0.06027,0.0021,-0.0021,G9-40,08:58:52.3299,+21:04:34.202,13.821,12.683,12.733,4.93,0.03,-0.03,cm/s2,0.04,0.1,-0.11,dex Fe/H or M/H,3348.0,32.0,-32.0,Kelvin,2020AJ....159..100S,26.13,22.63,6.75,2458319.65105,0.00013,5.7459996,2e-06
GJ357b,GJ357b,high,10,0,0,0,0,0,10,0,0,0,-0.13,2019A&A...628A..39L,1.43,1.53,2458824.588,0.00091,-0.00091,BJD_TDB,Days,3.930623,1e-05,-1e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.12,False,0.37,-0.31,Degrees,0.0,0.0,-0.0,Degrees,0.0331,False,0.0009,-0.0009,None,19.4,True,1.4,-1.3,None,2019A&A...628A..39L,0.0,0.0,-0.0,0.0,0.00079,-0.00079,GJ357,09:36:01.6372,-21:39:38.878,10.906,9.858,9.88,4.94,0.07,-0.07,cm/s2,-0.12,0.16,-0.16,dex Fe/H or M/H,3505.0,51.0,-51.0,Kelvin,2019A&A...628A..39L,35.37,30.63,11.27,2458824.588,0.00091,3.930623,1e-05
GJ367b,GJ367b,high,0,0,0,0,0,0,0,0,0,0,0.0,2021Sci...374.1271L,0.25,0.63,2458544.1348,0.0004,-0.0004,BJD_TDB,Days,0.321962,1e-05,-1e-05,Days,2021Sci...374.1271L,0.0,0.0,-0.0,80.75,False,0.64,-0.64,Degrees,0.0,0.0,-0.0,Degrees,0.0143,False,0.0096,-0.0096,None,3.41,False,0.06,-0.07,None,2021Sci...374.1271L,0.0,0.0,-0.0,0.0,0.0,-0.0,GJ367,09:44:29.8367,-45:46:35.427,9.979,9.019,9.152,4.78,0.03,-0.03,cm/s2,-0.01,0.12,-0.12,dex Fe/H or M/H,3522.0,70.0,-70.0,Kelvin,2021Sci...374.1271L,235.77,204.19,1.78,2458544.1348,0.0004,0.321962,1e-05
GJ436b,GJ436b,low,66,7,35,7,0,0,8,0,23,0,0.9,2004ApJ...617..580B,7.12,1.02,2455290.751684,5.2e-05,-5.2e-05,BJD_TDB,Days,2.643897621,9.6e-08,-9.6e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.7,False,0.03,-0.03,Degrees,0.0,0.0,-0.0,Degrees,0.0831,False,0.0003,-0.0003,None,14.14,False,0.09,-0.1,None,2011ApJ...735...27K,0.0,0.0,-0.0,0.0,0.00046,-0.00046,GJ436,11:42:11.0933,+26:42:23.658,10.613,10.272,9.571,4.84,0.02,-0.01,cm/s2,-0.03,0.2,-0.2,dex Fe/H or M/H,3350.0,300.0,-300.0,Kelvin,2008ApJ...677.1324T,8.77,7.6,57.78,2455290.751684,5.2e-05,2.643897621,9.6e-08
GJ486b,GJ486b,high,0,0,0,0,0,0,0,0,0,0,0.0,2021Sci...371.1038T,1.78,1.03,2458931.15935,0.00042,-0.00042,BJD_TDB,Days,1.467119,3.1e-05,-3.1e-05,Days,2021Sci...371.1038T,0.0,0.0,-0.0,88.6,False,1.0,-1.4,Degrees,0.0,0.0,-0.0,Degrees,0.0366,False,0.0011,-0.0011,None,10.94,False,0.55,-1.22,None,2021Sci...371.1038T,0.0,0.0,-0.0,0.0,0.0,-0.0,GJ486,12:47:56.6249,+09:45:05.031,11.395,10.235,10.094,4.906,0.04,-0.04,cm/s2,0.07,0.16,-0.16,dex Fe/H or M/H,3340.0,54.0,-54.0,Kelvin,2021Sci...371.1038T,34.61,29.98,10.79,2458931.15935,0.00042,1.467119,3.1e-05
GJ1132b,GJ1132b,high,22,1,1,1,0,0,15,0,6,0,-1.26,2015Natur.527..204B,3.39,0.76,2458031.60114,0.00011,-0.00011,BJD_TDB,Days,1.6289304,1.3e-06,-1.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.6,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.051,False,0.003,-0.003,None,16.0,False,1.1,-1.1,None,2015Natur.527..204B,0.0,0.0,-0.0,0.0,0.0016,-0.0016,GJ1132,10:14:51.7783,-47:09:24.189,13.49,13.067,12.138,5.05,0.09,-0.09,cm/s2,-0.12,0.15,-0.15,dex Fe/H or M/H,3270.0,140.0,-140.0,Kelvin,2015Natur.527..204B,45.05,39.01,5.86,2458031.60114,0.00011,1.6289304,1.3e-06
GJ1214b,GJ1214b,low,82,5,13,5,0,0,0,0,69,0,1.72,2009Natur.462..891C,18.78,0.87,2455886.320526,2.3e-05,-2.3e-05,BJD_TDB,Days,1.580404571,4.2e-08,-4.2e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.3,False,0.4,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.116,False,0.0005,-0.0005,None,15.31,False,0.21,-0.29,None,2012ApJ...747...35B,0.0,0.0,-0.0,0.0,0.0,-0.0,GJ1214,17:15:18.9337,+04:57:50.064,15.1,14.394,13.009,4.99,0.03,-0.03,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3026.0,130.0,-130.0,Kelvin,2009Natur.462..891C,13.24,13.24,20.84,2455886.320526,2.3e-05,1.580404571,4.2e-08
GJ1252b,GJ1252b,high,3,0,0,0,0,0,3,0,0,0,0.0,2020ApJ...890L...7S,1.0,0.74,2458876.9451,0.00086,-0.00086,BJD_TDB,Days,0.5182464,2.3e-06,-2.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.0,False,2.1,-1.8,Degrees,0.0,0.0,-0.0,Degrees,0.02802,False,0.0009,-0.0009,None,5.05,False,6.35,-2.73,None,2020ApJ...890L...7S,0.0,0.0,-0.0,0.0,0.0031,-0.0031,GJ1252,20:27:42.0813,-56:27:25.156,12.68,11.83,11.236,4.835,0.068,-0.067,cm/s2,0.1,0.1,-0.1,dex Fe/H or M/H,3458.0,140.0,-133.0,Kelvin,2020ApJ...890L...7S,103.41,89.56,2.7,2458876.9451,0.00086,0.5182464,2.3e-06
GJ3470b,GJ3470b,low,45,7,12,7,0,0,19,0,14,0,-0.02,2012A&A...546A..27B,7.69,1.91,2456974.68988,5.9e-05,-5.9e-05,BJD_TDB,Days,3.3366524,1.4e-07,-1.4e-07,Days,2022arXiv220909673K,0.017,0.016,-0.012,88.9,False,0.6,-0.5,Degrees,1.7,1.0,-1.2,Degrees,0.0764,False,0.0004,-0.0004,None,13.9,False,0.4,-0.5,None,2014MNRAS.443.1810B,0.0,0.0,-0.0,0.0,0.0004,-0.0004,GJ3470,07:59:05.8395,+15:23:29.240,12.33,11.934,11.354,4.77,0.12,-0.12,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3600.0,200.0,-200.0,Kelvin,2012A&A...546A..27B,10.34,8.96,30.69,2456974.68988,5.9e-05,3.3366524,1.4e-07
GJ3473b,GJ3473b,high,0,0,0,0,0,0,0,0,0,0,0.0,2020A&A...642A.236K,1.33,0.95,2458492.20408,0.00043,-0.00043,BJD_TDB,Days,1.1980035,1.8e-06,-1.8e-06,Days,2020A&A...642A.236K,0.0,0.0,-0.0,87.95,False,0.47,-0.45,Degrees,0.0,0.0,-0.0,Degrees,0.03184,False,0.00069,-0.00069,None,9.39,False,0.19,-0.21,None,2020A&A...642A.236K,0.0,0.0,-0.0,0.0,0.0,-0.0,GJ3473,08:02:22.8828,+03:20:19.692,13.74,13.44,12.465,4.81,0.06,-0.06,cm/s2,0.11,0.19,-0.19,dex Fe/H or M/H,3347.0,54.0,-54.0,Kelvin,2020A&A...642A.236K,121.13,104.9,2.08,2458492.20408,0.00043,1.1980035,1.8e-06
GJ3929b,GJ3929b,high,0,0,0,0,0,0,0,0,0,0,0.0,2022A&A...659A..17K,0.31,1.08,2458956.3962,0.0005,-0.0005,BJD_TDB,Days,2.616235,5e-06,-5e-06,Days,2022ApJ...936...55B,0.0,0.0,0.0,88.442,False,0.008,-0.008,Degrees,0.0,0.0,0.0,Degrees,0.0156,False,0.0003,-0.0003,None,16.8,False,0.5,-0.5,None,2022ApJ...936...55B,0.0,0.0,-0.0,0.0,0.0,-0.0,GJ3929,15:58:18.7976,+35:24:24.279,12.766,12.421,11.511,4.84,0.04,-0.04,cm/s2,0.0,0.16,-0.16,dex Fe/H or M/H,3369.0,51.0,-51.0,Kelvin,2022A&A...659A..17K,351.05,304.01,0.91,2458956.3962,0.0005,2.616235,5e-06
GJ9827b,GJ9827b,medium,41,0,0,0,0,0,40,0,1,0,0.06,2017AJ....154..266N,0.74,1.27,2457831.9172,0.00026,-0.00026,BJD_TDB,Days,1.2089749,1e-06,-1e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.1,False,0.4,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.024,False,0.0004,-0.0004,None,6.72,False,0.08,-0.09,None,2019MNRAS.484.3731R,0.02441,0.00015,-0.00015,0.02441,0.0013,-0.0013,GJ9827,23:27:04.8376,-01:17:10.585,10.1,10.09,9.838,4.7,0.15,-0.15,cm/s2,-0.28,0.12,-0.12,dex Fe/H or M/H,4255.0,110.0,-110.0,Kelvin,2017AJ....154..266N,75.55,65.43,4.91,2457831.9172,0.00026,1.2089749,1e-06
GJ9827c,GJ9827c,high,10,0,0,0,0,0,10,0,0,0,-9.43,2017AJ....154..266N,0.46,1.82,2457851.64378,0.00075,-0.00075,BJD_TDB,Days,3.6481145,9.6e-06,-9.6e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.19,False,0.21,-0.18,Degrees,0.0,0.0,-0.0,Degrees,0.01887,False,0.00034,-0.00034,None,14.04,False,0.17,-0.17,None,2019MNRAS.484.3731R,0.01955,0.00036,-0.00036,0.01955,0.0033,-0.0033,GJ9827,23:27:04.8376,-01:17:10.585,10.1,10.09,9.838,4.7,0.15,-0.15,cm/s2,-0.28,0.12,-0.12,dex Fe/H or M/H,4255.0,110.0,-110.0,Kelvin,2017AJ....154..266N,109.72,95.02,3.66,2457851.64378,0.00075,3.6481145,9.6e-06
GJ9827d,GJ9827d,high,9,0,0,0,0,0,9,0,0,0,0.0,2017AJ....154..266N,0.84,1.22,2457740.9611,0.0004,-0.0004,BJD_TDB,Days,6.20147,6e-05,-6e-05,Days,2018AJ....155...72R,0.0,0.0,-0.0,87.44,False,0.04,-0.04,Degrees,0.0,0.0,-0.0,Degrees,0.0307,False,0.0006,-0.0006,None,20.0,False,0.23,-0.25,None,2019MNRAS.484.3731R,0.03159,0.0004,-0.0004,0.03159,0.0,-0.0,GJ9827,23:27:04.8376,-01:17:10.585,10.1,10.09,9.838,4.7,0.15,-0.15,cm/s2,-0.28,0.12,-0.12,dex Fe/H or M/H,4255.0,110.0,-110.0,Kelvin,2017AJ....154..266N,67.39,58.36,5.86,2457740.9611,0.0004,6.20147,6e-05
GPX-1b,GPX-1b,low,44,36,44,36,0,0,0,0,0,0,-3.49,2021MNRAS.505.4956B,9.33,2.12,2458770.23823,0.0004,-0.0004,BJD_TDB,Days,1.744579,8e-06,-8e-06,Days,2021MNRAS.505.4956B,0.0,0.0,-0.0,79.9,False,0.7,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.095,False,0.002,-0.002,None,4.67,False,0.55,-0.32,None,2021MNRAS.505.4956B,0.0,0.0,-0.0,0.0,0.0,-0.0,GPX-1,02:33:28.5998,+56:01:32.588,12.319,12.033,12.223,4.27,0.05,-0.05,cm/s2,0.35,0.1,-0.1,dex Fe/H or M/H,7000.0,200.0,-200.0,Kelvin,2021MNRAS.505.4956B,8.56,7.42,16.41,2458770.23823,0.0004,1.744579,8e-06
Gaia-1b,Gaia-1b,low,11,11,11,11,0,0,0,0,0,0,3.87,2022A&A...663A.101P,20.22,2.32,2458468.68524,0.00057,-0.00057,BJD_TDB,Days,3.052524,1.7e-05,-1.7e-05,Days,2022A&A...663A.101P,0.0,0.0,0.0,85.73,False,0.47,-0.41,Degrees,0.0,0.0,0.0,Degrees,0.1325,False,0.0059,-0.0059,None,9.13,False,0.46,-0.44,None,2022A&A...663A.101P,0.0,0.0,-0.0,0.0,0.0,-0.0,Gaia-1,06:02:34.4736,-00:34:36.965,13.195,13.1,12.999,4.46002695753154,0.04214733982593696,-0.04214733982593696,cm/s2,0.0,0.0,0.0,dex Fe/H or M/H,5470.0,110.0,-110.0,Kelvin,2022A&A...663A.101P,8.18,8.18,24.57,2458468.68524,0.00057,3.052524,1.7e-05
Gaia-2b,Gaia-2b,low,19,19,19,19,0,0,0,0,0,0,4.48,2022A&A...663A.101P,18.16,2.83,2458843.98875,0.00019,-0.00019,BJD_TDB,Days,3.6915224,3.9e-06,-3.9e-06,Days,2022A&A...663A.101P,0.0,0.0,0.0,85.21,False,0.25,-0.25,Degrees,0.0,0.0,0.0,Degrees,0.1276,False,0.0051,-0.0051,None,8.669,False,0.027,-0.027,None,2022A&A...663A.101P,0.0,0.0,-0.0,0.0,0.0,-0.0,Gaia-2,07:22:56.4611,+67:15:09.190,11.28,10.969,11.197,4.387138832290847,0.049904172471883654,-0.049904172471883654,cm/s2,0.0,0.0,0.0,dex Fe/H or M/H,5720.0,84.0,-84.0,Kelvin,2022A&A...663A.101P,5.0,5.0,72.95,2458843.98875,0.00019,3.6915224,3.9e-06
HAT-P-1b,HAT-P-1b,medium,24,3,14,3,0,0,0,0,10,0,0.54,2007ApJ...656..552B,15.23,2.88,2456476.03405,0.00019,-0.00019,BJD_TDB,Days,4.46529913,3.7e-07,-3.7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.63,False,0.06,-0.06,Degrees,0.0,0.0,-0.0,Degrees,0.11802,False,0.00018,-0.00018,None,9.85,False,0.07,-0.07,None,2014MNRAS.437...46N,0.0,0.0,-0.0,0.0,0.0,-0.0,HAT-P-1,22:57:46.8443,+38:40:30.355,9.87,10.02,10.179,4.38,0.03,-0.03,cm/s2,0.13,0.08,-0.08,dex Fe/H or M/H,5975.0,120.0,-120.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,108.74,2456476.03405,0.00019,4.46529913,3.7e-07
HAT-P-2b,HAT-P-2b,high,15,2,2,2,0,0,9,0,4,0,0.9,2007ApJ...670..826B,6.62,4.31,2458657.66292,0.00011,-0.00011,BJD_TDB,Days,5.63346785,6.1e-07,-6.1e-07,Days,2022arXiv220909673K,0.5171,0.0033,-0.0033,86.72,False,1.12,-0.87,Degrees,185.22,0.95,-0.95,Degrees,0.07227,False,0.00061,-0.00061,None,8.99,False,0.39,-0.41,None,2010MNRAS.401.2665P,0.0,0.0,-0.0,0.0,0.00015,-0.00015,HAT-P-2,16:20:36.3579,+41:02:53.109,8.69,8.417,8.598,4.2,0.04,-0.05,cm/s2,0.12,0.08,-0.08,dex Fe/H or M/H,6290.0,110.0,-110.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,115.32,2458657.66292,0.00011,5.63346785,6.1e-07
HAT-P-3b,HAT-P-3b,low,90,15,53,15,0,0,14,0,23,0,0.01,2007ApJ...666L.121T,14.14,2.08,2456843.022438,8.1e-05,-8.1e-05,BJD_TDB,Days,2.89973815,1.3e-07,-1.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.1,False,0.6,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.1063,False,0.002,-0.002,None,10.4,False,0.5,-0.5,None,2011AJ....141..179C,0.0,0.0,-0.0,0.0,0.0004,-0.0004,HAT-P-3,13:44:22.5939,+48:01:43.206,11.86,11.025,11.28,4.56,0.03,-0.03,cm/s2,0.27,0.08,-0.08,dex Fe/H or M/H,5185.0,80.0,-80.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,48.62,2456843.022438,8.1e-05,2.89973815,1.3e-07
HAT-P-4b,HAT-P-4b,low,35,5,16,5,0,0,5,0,14,0,0.61,2007ApJ...670L..41K,9.84,4.25,2455584.57238,0.00018,-0.00018,BJD_TDB,Days,3.05652301,2.9e-07,-2.9e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.7,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.086,False,0.008,-0.008,None,6.0,False,0.3,-0.3,None,2011ApJ...726...94C,0.0,0.0,-0.0,0.0,0.00055,-0.00055,HAT-P-4,15:19:57.9205,+36:13:46.737,11.12,10.848,11.063,4.36,0.11,-0.11,cm/s2,0.24,0.08,-0.08,dex Fe/H or M/H,5860.0,80.0,-80.0,Kelvin,2008ApJ...677.1324T,5.11,5.0,49.96,2455584.57238,0.00018,3.05652301,2.9e-07
