,planet,mu_P,mu_dP_dE_ms,sd_dP_dE_ms
0,HAT-P-1,4.465302828064233,0.027007281955370176,0.3456712665445103
1,KELT-16,0.9689922582315031,-0.33050346301328465,0.11526919648647123
2,WASP-10,3.092727661600422,0.11368157267029481,0.05099306502658063
3,KELT-1,1.2174934806037465,0.18893958872693042,0.03930069891997206
4,WASP-80,3.0678522942799615,0.24724365129493367,0.23669633756722921
5,XO-1,3.941505795605233,-0.014915289597465204,0.08782796651024322
6,GJ-436,2.643898349945115,0.01424792956884018,0.05211950636869003
7,WASP-92,2.1746726807682273,-0.17300948792409945,0.24918203774290634
8,HAT-P-10,3.722500713283488,13.423914038970779,6.567181939356589
9,HAT-P-36,1.3273474024012886,-0.21582450678111081,0.03008396854426734
10,XO-3,3.191523345318183,-0.5615074662660612,0.21708036544729367
11,WASP-5,1.6284295360690924,0.09216680013250339,0.04917929855596425
12,HAT-P-28,3.257213062958919,1.9810817794151072,0.3976584752812483
13,CoRoT-2,1.7429975294580804,0.027557900516017475,0.029530700670349883
14,HAT-P-12,3.213057431934218,-0.40596638446949873,0.06751089895420331
15,WASP-12,1.091419614561684,-0.08518048998824512,0.007186705093815113
16,HAT-P-3,2.8997373266629203,-0.31444601219872953,0.07608454847929542
17,TrES-5,1.482246583692741,-0.0002219531489293394,0.031695891123523084
18,WASP-36,1.5373656266774116,-0.10754721311532013,0.045922929038764417
19,WASP-103,0.9255450570889188,-0.23285148542002634,0.05412232150890035
20,HAT-P-16,2.7759684090139842,-0.1372835595698279,0.1343074081392685
21,HAT-P-32,2.1500068308290348,-1.1936061010862549,0.09457454894537842
22,WASP-1,2.519947328614766,-0.03587233955426704,0.08627716269499347
23,HAT-P-20,2.875319106380678,0.1505633289331971,0.09566291501819833
24,WASP-43,0.8134739890041489,0.015670775568277447,0.007419660798657236
25,TrES-1,3.0300701310923754,0.07991813943293226,0.02606133197241739
26,HD209458,3.5247477529423006,-2.0606730199440535,0.21620161323460216
27,WASP-14,2.243769152340552,0.3365061607580921,0.12815079224580037
28,TrES-3,1.3061861298939428,0.010639960991473272,0.0047282337665264
29,HAT-P-5,2.7884739041572195,-0.3580695977346988,0.0909854348805202
30,Qatar-1,1.420024348506463,-0.016856358685106557,0.011770044825353418
31,WASP-65,2.311420277518162,-0.20616569837455803,0.3979261360420473
32,HAT-P-18,5.508030443475093,-3.6667719347977905,0.9465762608057406
33,HAT-P-22,3.2122253217530408,-4.069637813276725,0.4720077261719301
34,HAT-P-53,1.961622246569516,-9.654623340793478,1.5921878410703496
35,WASP-3,1.8468348155555168,-0.037778173460798946,0.02895528960797376
36,XO-5,4.187761440835094,1.8694813807897925,0.3693991233926053
37,HAT-P-30,2.810601321395552,-0.3177720993272208,0.2433413589674015
38,HAT-P-11,4.887801801810208,-0.5205025289986152,0.4246170948764128
39,Kepler-17,1.4857108267984778,0.010877508794683396,0.06715851256278058
40,CoRoT-1,1.5089687640022904,0.026033309369619142,0.022268281377525758
41,HAT-P-56,2.7908220838737465,-1.8849235835538216,1.1193604353553572
42,HAT-P-27,3.039575876267463,-1.2535674138329305,0.36193030025458744
43,HAT-P-44,4.301168774829803,-5.8711558292295845,0.8608378851376348
44,WASP-93,2.7324839907513647,18.678226870134036,68.35981640425231
45,WASP-48,2.1436364051526757,-0.03916807314129587,0.1692969196117361
46,Qatar-4,1.8053692285340432,2.1602941028121867,0.3836268377992678
47,WASP-46,1.4303721084521057,0.023873991100873973,0.021674046428494017
48,TrES-4,3.5539144119580652,4.803945065903841,0.6760989903279577
49,HAT-P-13,2.916242716170949,0.5007513010187352,0.18736090341588804
50,HAT-P-25,3.652814193058538,0.02345037114987508,0.2737332577093806
51,HAT-P-54,3.799845724343213,-0.39079781945159503,0.8225935932557852
52,WASP-4,1.3382314056827753,-0.026353522136812194,0.005378391154067877
53,XO-2,2.615859179773691,0.008151920326889751,0.049925172278918455
54,HAT-P-37,2.7974422395101346,0.03867550240462187,0.10461282377412905
55,Qatar-2,1.3371172361805979,0.03733620462303361,0.027077763108022103
56,HAT-P-6,3.8530480075902296,-12.279718868676985,18.273615625729228
57,WASP-33,1.2198824009548805,0.4057101838642135,0.04580446408636372
58,WASP-50,1.9550926688639718,0.16248526168114363,0.0505876641438435
59,XO-6,3.7649943098329235,-0.3248053833813894,0.7486819265789932
60,KPS-1,1.7063328399271072,1.6127404710696192,0.4654242877716287
61,HD189733,2.2185758145183065,0.08371609306768824,0.02086096406298277
62,HAT-P-23,1.2128865731525587,-0.013651647733051577,0.0127672937345164
63,WASP-2,2.1522228101141527,0.16054291994814684,0.028679971138004638
64,HAT-P-19,4.008783219286651,-0.4527393683713286,0.1665936277780954
65,HAT-P-8,3.076345662409778,-0.3491006390896194,0.660894320558296
66,WASP-19,0.7888387222806261,-0.016462446455539022,0.005221075042474251
67,TrES-2,2.4706135312812796,-0.07386038553047208,0.030133040061616857
68,WASP-52,1.7497812199565799,-0.031157568406513854,0.04180756886828921
69,GJ-1214,1.5804033546313212,0.1357177119202653,0.018202956839506908
70,WASP-104,1.755404294942134,-0.4457521274864373,0.23782253270646786
