,transit_count,transit_spacing,measurement_unc,planet,prob_dP_dE_less_than_0,decay_rate_variance,log_decay_rate_variance,marker_size
0,3,1.0,10.367999999999999,NA,,429981695.99999696,8.633449968380996,1.0
1,3,1.0,11.850313742012215,NA,,561719743.1364945,8.7495196885807,1.0
2,3,1.0,13.544553991524262,NA,,733819771.3172588,8.865589408780396,1.0
3,3,1.0,15.48101989729806,NA,,958647908.2421644,8.981659128980102,1.0
4,3,1.0,17.694342479679374,NA,,1252359023.152739,9.097728849179795,1.0
5,3,1.0,20.22410395860484,NA,,1636057523.7138171,9.213798569379495,1.0
6,3,1.0,23.11554562698096,NA,,2137313798.5321517,9.329868289579197,1.0
7,3,1.0,26.420376928773408,NA,,2792145268.2338557,9.445938009778898,1.0
8,3,1.0,30.19770021105189,NA,,3647604392.1462374,9.562007729978594,1.0
9,3,1.0,34.51506768790446,NA,,4765159590.002465,9.678077450178293,1.0
10,3,1.0,39.4496895185625,NA,,6225112012.443922,9.794147170377997,1.0
11,3,1.0,45.08981460454634,NA,,8132365524.2893505,9.910216890577692,1.0
12,3,1.0,51.53630879948287,NA,,10623964498.702787,10.026286610777403,1.0
13,3,1.0,58.90445875569993,NA,,13878941045.207787,10.142356330977094,1.0
14,3,1.0,67.3260336669042,NA,,18131179237.268303,10.25842605117679,1.0
15,3,1.0,76.9516417783653,NA,,23686220689.5434,10.374495771376495,1.0
16,3,1.0,87.95342380753897,NA,,30943219037.874317,10.490565491576195,1.0
17,3,1.0,100.52813144323909,NA,,40423620845.876755,10.606635211775895,1.0
18,3,1.0,114.90064597806963,NA,,52808633784.71039,10.72270493197559,1.0
19,3,1.0,131.328,NA,,68988174335.99933,10.83877465217529,1.0
20,3,2.0,10.367999999999999,NA,,26873855.99999981,7.4293299857250705,1.0
21,3,2.0,11.850313742012215,NA,,35107483.94603091,7.5453997059247735,1.0
22,3,2.0,13.544553991524262,NA,,45863735.70732868,7.661469426124471,1.0
23,3,2.0,15.48101989729806,NA,,59915494.26513527,7.777539146324178,1.0
24,3,2.0,17.694342479679374,NA,,78272438.94704619,7.893608866523871,1.0
25,3,2.0,20.22410395860484,NA,,102253595.23211357,8.00967858672357,1.0
26,3,2.0,23.11554562698096,NA,,133582112.40825948,8.125748306923272,1.0
27,3,2.0,26.420376928773408,NA,,174509079.26461598,8.241818027122973,1.0
28,3,2.0,30.19770021105189,NA,,227975274.50913984,8.35788774732267,1.0
29,3,2.0,34.51506768790446,NA,,297822474.3751541,8.473957467522368,1.0
30,3,2.0,39.4496895185625,NA,,389069500.7777451,8.590027187722072,1.0
31,3,2.0,45.08981460454634,NA,,508272845.2680844,8.706096907921767,1.0
32,3,2.0,51.53630879948287,NA,,663997781.1689242,8.822166628121478,1.0
33,3,2.0,58.90445875569993,NA,,867433815.3254867,8.938236348321169,1.0
34,3,2.0,67.3260336669042,NA,,1133198702.329269,9.054306068520866,1.0
35,3,2.0,76.9516417783653,NA,,1480388793.0964625,9.17037578872057,1.0
36,3,2.0,87.95342380753897,NA,,1933951189.8671448,9.286445508920272,1.0
37,3,2.0,100.52813144323909,NA,,2526476302.867297,9.40251522911997,1.0
38,3,2.0,114.90064597806963,NA,,3300539611.5443993,9.518584949319665,1.0
39,3,2.0,131.328,NA,,4311760895.999958,9.634654669519366,1.0
40,3,3.0,10.367999999999999,NA,,5308416.000000008,6.72496494950235,1.0
41,3,3.0,11.850313742012215,NA,,6934811.643660417,6.841034669702048,1.0
42,3,3.0,13.544553991524262,NA,,9059503.349595945,6.957104389901754,1.0
43,3,3.0,15.48101989729806,NA,,11835159.361014428,7.073174110101455,1.0
44,3,3.0,17.694342479679374,NA,,15461222.508058757,7.189243830301153,1.0
45,3,3.0,20.22410395860484,NA,,20198241.033504054,7.305313550500848,1.0
46,3,3.0,23.11554562698096,NA,,26386590.10533506,7.421383270700544,1.0
47,3,3.0,26.420376928773408,NA,,34470929.23745497,7.537452990900247,1.0
