,planet,num_transits,mu,sd,prob_decay
0,55cnce,92,-0.004524422436697955,0.01591070004727352,0.6129620530463895
1,corot1,104,0.032469892374787646,0.021328514509481634,0.0636028561655747
2,corot11,22,-1.6113429438730493,0.4837649399107736,0.9989718330760652
3,corot19,19,2.3033529004100886,4.084793137065799,0.2790613596029976
4,corot2,169,-0.09900039188427504,0.013702391786733563,0.9999999999904048
5,corot5,34,-1.5256479343846172,4.168173415458157,0.6461563149201808
6,corot6,6,11.89202346835093,6.734223977202474,0.03751540352574305
7,epic21194521,7,3.3296670380844615,75.83034408238362,0.48040293886061064
8,epic246851721,17,6.291212415015327,19.568015151807273,0.3673126838331116
9,g940,19,-8.830865306199748,8.802259023639555,0.8489210679475858
10,gj1132,21,0.1885669028920735,0.17135554290804914,0.12986120172522314
11,gj1214,107,0.022981642189256246,0.01041468325293634,0.014027421272249891
12,gj3470,31,0.32879523104123876,0.35087002811042184,0.16957426565875722
13,gj357,10,600.5285138024552,574.607666000719,0.13620101176464935
14,gj436,104,0.055179860680654495,0.023701673314099687,0.010354871186350954
15,gj9827,41,-0.2159806605559538,0.7333344340015023,0.6181371716359791
16,gj9827c,10,-18.123167389187593,16.44678946143254,0.8769326551895802
17,hatp1,38,-0.2644589187636568,0.17456964281507892,0.9361083462158638
18,hatp11,210,-0.3488504461298511,0.0795542043963815,0.9999912264804132
19,hatp12,139,-0.04837640688033098,0.040862456513157244,0.8825591327296907
20,hatp13,74,0.1933043805022748,0.18467438791641533,0.14578037343545142
21,hatp14,28,0.4933532494528276,0.4640174288349767,0.1391014830279203
22,hatp15,7,-9.42478121145508,8.359297848268687,0.8854046731903671
23,hatp16,81,0.03129323999925472,0.09345531916420406,0.36759252190366754
24,hatp17,12,0.0685903557950265,1.0010517810398751,0.47087834807496254
25,hatp18,41,-1.1150785383040547,0.34484595039267113,0.9990193272824077
26,hatp19,79,-0.1167235012643429,0.1363199931308461,0.8058189840258245
27,hatp2,14,-0.6287065076542682,1.1370115858154342,0.7193047462031295
28,hatp20,118,0.0009895444463826715,0.04388012756722616,0.4909382469765271
29,hatp21,14,0.4547173517717056,1.5293244667241652,0.3764184093032996
30,hatp22,68,-0.9982161785150332,0.12572125894144467,0.9999999999877172
31,hatp23,137,0.011163588453644228,0.010259336234046292,0.1373488101398259
32,hatp24,42,-0.3132241602085338,0.20335585118811939,0.9390860804807093
33,hatp25,78,0.18761371336476595,0.16874925040899763,0.1316031831095726
34,hatp26,23,-0.09794771074202098,0.34705959424151156,0.6148137492248669
35,hatp27,58,-0.6401495014068096,0.19658418158908078,0.9991768887998186
36,hatp28,36,0.16365837325321994,0.3108359682806935,0.29554780375021467
37,hatp29,20,2.986774885013543,1.8512089147446587,0.05224948370270528
38,hatp3,135,-0.026801690466955304,0.06505810534434665,0.6606495936862331
39,hatp30,65,-0.011900662855156873,0.1315362810719276,0.5365141168193734
40,hatp31,19,-0.9432491140150548,2.251029678393348,0.6686135645678994
41,hatp32,161,-0.03385746083491792,0.012906997468358177,0.995421392020973
42,hatp33,42,0.20363646768808039,0.11131438377803472,0.03393506306255366
43,hatp34,20,10.721390086121765,1.3908328134092838,4.577882714280271e-08
44,hatp35,17,0.10302565840437337,0.9228673976234503,0.4532440707226603
45,hatp36,194,0.0546058750216525,0.01715954031337588,0.0008120302792855535
46,hatp37,102,0.020102102382659626,0.10636855057530072,0.42442357068895037
47,hatp38,14,-0.5882308016674443,0.572804510748595,0.8569853390771631
48,hatp39,19,-2.154803554785877,11.590286177396903,0.5772729586369676
49,hatp4,26,-0.5251973192338687,0.2813530192253038,0.9685203349888318
50,hatp40,9,-1.4424869107173561,5.038078079746821,0.6235686136195263
51,hatp41,15,0.08919854934665811,0.27705385796772086,0.3671351064884213
52,hatp42,29,3.059171936567178,1.4609878979545095,0.019166851648140068
53,hatp43,53,0.2287449973434818,0.2559355902204281,0.18278125891230784
54,hatp44,36,0.7471142680507714,0.5669754937963081,0.091660998865781
55,hatp45,11,0.8586638216448189,0.6708336439203436,0.09310061703435744
56,hatp46,5,1.0564948979652748,3.7119598392554005,0.36965306205162585
57,hatp49,20,0.29066814874993757,0.4345804306991413,0.24446165507330953
58,hatp5,91,-0.029491340569591167,0.06026303002470023,0.6892363071831411
59,hatp50,39,0.17210503102643154,0.626164580506665,0.38932668514307245
