event_type,time,uncertainty,epoch_number,ref
tra,2456005.31533,0.00037,-275,M13
tra,2456006.40637,0.00031,-274,M13
tra,2456245.42729,0.00033,-55,M16
tra,2456249.79404,0.00039,-51,C17
tra,2456273.80514,0.00030,-29,C17
tra,2456282.53584,0.00030,-21,M16
tra,2456284.71857,0.00030,-19,C17
tra,2456297.81605,0.00030,-7,C17
tra,2456302.18179,0.00046,-3,M16
tra,2456305.45536,0.00024,0,M16
tra,2456319.64424,0.00038,13,C17
tra,2456328.37556,0.00027,21,M16
tra,2456329.46733,0.00029,22,M16
tra,2456604.50489,0.00021,274,M16
tra,2456605.59624,0.00030,275,M16
tra,2456606.68760,0.00033,276,M16
tra,2456607.77938,0.00071,277,C17
tra,2456629.60726,0.00019,297,M16
tra,2456630.69917,0.00043,298,M16
occ,2456638.88589,0.00110,305,P17
occ,2456642.15907,0.00141,308,P17
tra,2456654.71047,0.00034,320,C17
tra,2456659.07598,0.00034,324,K15
tra,2456662.35014,0.00019,327,M16
tra,2456663.44136,0.00019,328,M16
tra,2456664.53256,0.00031,329,M16
tra,2456674.35560,0.00028,338,K15
tra,2456677.63039,0.00032,341,C17
tra,2456688.54384,0.00040,351,M16
tra,2456694.00161,0.00029,356,K15
tra,2456703.82417,0.00029,365,K15
tra,2456711.46415,0.00025,372,M16
tra,2456719.10428,0.00034,379,K15
tra,2456721.28692,0.00034,381,K15
tra,2456722.37807,0.00046,382,M16
tra,2456986.50195,0.00043,624,M16
tra,2457010.51298,0.00039,646,M16
tra,2457012.69617,0.00049,648,C17
tra,2457045.43831,0.00046,678,M16
tra,2457046.53019,0.00049,679,M16
tra,2457059.62713,0.00035,691,C17
tra,2457060.71839,0.00036,692,C17
tra,2457067.26715,0.00022,698,M16
tra,2457068.35834,0.00020,699,M16
tra,2457103.28423,0.00031,731,M16
tra,2457345.57867,0.00042,953,M16
tra,2457390.32708,0.00033,994,M16
tra,2457391.41818,0.00033,995,M16
tra,2457426.34324,0.00055,1027,M16
tra,2457427.43496,0.00023,1028,M16
tra,2457451.44617,0.00021,1050,M18
tra,2457671.91324,0.00035,1252,P17
tra,2457691.55888,0.00025,1270,M18
tra,2457703.56388,0.00034,1281,M18
tra,2457706.83791,0.00037,1284,P17
tra,2457726.48400,0.00028,1302,M18
tra,2457727.57547,0.00023,1303,M18
tra,2457765.77515,0.00028,1338,P17
tra,2457766.86633,0.00039,1339,P17
occ,2457769.59573,0.00136,1341,H19
tra,2457772.32407,0.00024,1344,M18
tra,2457773.41517,0.00022,1345,M18
