planet  transit_time 	error      	source         	ID             
55Cnce         2459563.78256  	0.00073        	space          	55Cnce_10886_2021-12-15_TESS
55Cnce         2459564.51954  	0.0007         	space          	55Cnce_10887_2021-12-16_TESS
55Cnce         2459567.46543  	0.00075        	space          	55Cnce_10891_2021-12-18_TESS
55Cnce         2459568.20249  	0.00088        	space          	55Cnce_10892_2021-12-19_TESS
55Cnce         2459568.93971  	0.0007         	space          	55Cnce_10893_2021-12-20_TESS
55Cnce         2459569.67439  	0.00048        	space          	55Cnce_10894_2021-12-21_TESS
55Cnce         2459570.41127  	0.00059        	space          	55Cnce_10895_2021-12-21_TESS
55Cnce         2459571.1464   	0.0013         	space          	55Cnce_10896_2021-12-22_TESS
55Cnce         2459571.884    	0.001          	space          	55Cnce_10897_2021-12-23_TESS
55Cnce         2459572.6201   	0.0012         	space          	55Cnce_10898_2021-12-24_TESS
55Cnce         2459573.3595   	0.0014         	space          	55Cnce_10899_2021-12-24_TESS
55Cnce         2459574.094    	0.00049        	space          	55Cnce_10900_2021-12-25_TESS
55Cnce         2459574.8321   	0.001          	space          	55Cnce_10901_2021-12-26_TESS
55Cnce         2459575.56666  	0.00072        	space          	55Cnce_10902_2021-12-27_TESS
55Cnce         2459576.3016   	0.0022         	space          	55Cnce_10903_2021-12-27_TESS
55Cnce         2459577.0381   	0.001          	space          	55Cnce_10904_2021-12-28_TESS
55Cnce         2459577.7779   	0.001          	space          	55Cnce_10905_2021-12-29_TESS
55Cnce         2459578.51292  	0.00095        	space          	55Cnce_10906_2021-12-30_TESS
CoRoT-2b       2454237.53637  	0.00014        	literature     	2008A&A...482L..21A
CoRoT-2b       2457263.3782   	0.0003         	exoclock       	CoRoT-2b_3280_2015-08-28_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
CoRoT-2b       2457608.4945   	0.0005         	exoclock       	CoRoT-2b_3478_2016-08-07_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
CoRoT-2b       2457615.46634  	0.00023        	exoclock       	CoRoT-2b_3482_2016-08-14_Observatoire_des_Baronnies_Provençales_Lum_Anaël_Wünsche
CoRoT-2b       2457622.439    	0.0006         	exoclock       	CoRoT-2b_3486_2016-08-21_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
CoRoT-2b       2457629.4082   	0.0009         	exoclock       	CoRoT-2b_3490_2016-08-28_Nunki_Observatory_Rc_Nikolaos_I._Paschalis
CoRoT-2b       2457643.3528   	0.0003         	literature     	2019MNRAS.486.2290O
CoRoT-2b       2457927.4596   	0.0004         	literature     	2019MNRAS.486.2290O
CoRoT-2b       2457941.4051   	0.0008         	literature     	2019MNRAS.486.2290O
CoRoT-2b       2457955.3477   	0.0004         	literature     	2019MNRAS.486.2290O
CoRoT-2b       2457995.4384   	0.0004         	exoclock       	CoRoT-2b_3700_2017-08-29_Observatoire_des_Baronnies_Provençales_Lum_Anaël_Wünsche
CoRoT-2b       2458009.3792   	0.0005         	literature     	2019MNRAS.486.2290O
CoRoT-2b       2458030.3008   	0.0007         	literature     	2019MNRAS.486.2290O
CoRoT-2b       2458389.3549   	0.0007         	exoclock       	CoRoT-2b_3926_2018-09-27_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
CoRoT-2b       2458396.3276   	0.0006         	exoclock       	CoRoT-2b_3930_2018-10-04_lroussel_Clear_Lionel_Rousselot
CoRoT-2b       2458666.4924   	0.0005         	exoclock       	CoRoT-2b_4085_2019-07-01_WBRO_-_K49_V_Fabio_Salvaggio
CoRoT-2b       2458666.4936   	0.0004         	exoclock       	CoRoT-2b_4085_2019-07-01_Rasteau_Observatory_Clear_Yves_Jongen
CoRoT-2b       2458673.4623   	0.0004         	exoclock       	CoRoT-2b_4089_2019-07-08_Gruppo_Astrofili_Catanesi_Clear_Giuseppe_Marino
CoRoT-2b       2458673.4633   	0.0007         	exoclock       	CoRoT-2b_4089_2019-07-08_NOAK_Observatory_R_Nick_Sioulas
CoRoT-2b       2458755.3848   	0.0005         	exoclock       	CoRoT-2b_4136_2019-09-28_lroussel_Clear_Lionel_Rousselot
CoRoT-2b       2458948.8575   	0.0004         	exoclock       	CoRoT-2b_4247_2020-04-09_Deep_Sky_Chile_Clear_Yves_Jongen
CoRoT-2b       2459009.864    	0.004          	exoclock       	CoRoT-2b_4282_2020-06-09_MicroObservatory_located_at_Whipple_Observatory_Clear_Roger_Dymock
CoRoT-2b       2459023.8064   	0.0013         	exoclock       	CoRoT-2b_4290_2020-06-23_MicroObservatory_Cecilia_Clear_Martin_Fowler
CoRoT-2b       2459025.5481   	0.0005         	exoclock       	CoRoT-2b_4291_2020-06-25_Rasteau_Observatory_Clear_Yves_Jongen
CoRoT-2b       2459025.549    	0.0004         	exoclock       	CoRoT-2b_4291_2020-06-25_Private_Observatory_(I64)_R_Adrian_Jones
CoRoT-2b       2459032.5213   	0.0003         	exoclock       	CoRoT-2b_4295_2020-07-02_Rasteau_Observatory_Clear_Yves_Jongen
CoRoT-2b       2459039.4922   	0.0004         	exoclock       	CoRoT-2b_4299_2020-07-08_Alto-Observatory_Lum_Alberto_Tomatis
CoRoT-2b       2459039.4925   	0.0005         	exoclock       	CoRoT-2b_4299_2020-07-08_Cavallino_Lum_Mauro_Caló
CoRoT-2b       2459039.4928   	0.0003         	exoclock       	CoRoT-2b_4299_2020-07-08_Rasteau_Observatory_Clear_Yves_Jongen
CoRoT-2b       2459039.4933   	0.0008         	exoclock       	CoRoT-2b_4299_2020-07-08_HRTobs_Lum_François_Regembal
CoRoT-2b       2459039.4935   	0.0009         	exoclock       	CoRoT-2b_4299_2020-07-08_Nunki_Observatory_R_Nikolaos_I._Paschalis
CoRoT-2b       2459067.3813   	0.0007         	exoclock       	CoRoT-2b_4315_2020-08-05_Rasteau_Observatory_Clear_Yves_Jongen
CoRoT-2b       2459079.5823   	0.0003         	exoclock       	CoRoT-2b_4322_2020-08-18_Deep_Sky_Chile_Clear_Yves_Jongen
CoRoT-2b       2459081.3225   	0.0014         	exoclock       	CoRoT-2b_4323_2020-08-19_Elizabeth_Observatory_of_Athens_Lum_Iakovos_Strikis
CoRoT-2b       2459391.5796   	0.0007         	exoclock       	CoRoT-2b_4501_2021-06-26_Vallbona_Observatory_V_Enrique_Arce-Mansego
CoRoT-2b       2459398.5502   	0.0003         	exoclock       	CoRoT-2b_4505_2021-07-03_Tacande_R_Kevin_Hills
CoRoT-2b       2459412.4948   	0.0004         	exoclock       	CoRoT-2b_4513_2021-07-16_Rasteau_Observatory_Lum_Yves_Jongen
CoRoT-2b       2459412.495    	0.0005         	exoclock       	CoRoT-2b_4513_2021-07-16_Burnham_Observatory_R_Martin_Valentine_Crow
CoRoT-2b       2459431.6686   	0.0003         	exoclock       	CoRoT-2b_4524_2021-08-05_Deep_Sky_Chile_Lum_Yves_Jongen
CoRoT-11b      2454597.6798   	0.0003         	literature     	2010A&A...524A..55G
CoRoT-11b      2455750.479    	0.0017         	etd            	CoRoT-11b_1404_2011-07-07_1310148032_Ramon_Naves
CoRoT-11b      2455837.3181   	0.0022         	etd            	CoRoT-11b_1433_2011-10-02_1317591415_Roberto_Zambelli
CoRoT-11b      2456091.8299   	0.0015         	etd            	CoRoT-11b_1518_2012-06-13_1340304459_Steven_Palladino,__Arend_J._Poelarends
CoRoT-11b      2456864.353    	0.005          	exoclock       	CoRoT-11b_1776_2014-07-25_Claudio_Lopresti_Lum_Claudio_Lopresti
CoRoT-11b      2456867.347    	0.006          	exoclock       	CoRoT-11b_1777_2014-07-28_Claudio_Lopresti_Lum_Claudio_Lopresti
CoRoT-11b      2456873.332    	0.006          	exoclock       	CoRoT-11b_1779_2014-08-03_Claudio_Lopresti_Lum_Claudio_Lopresti
CoRoT-11b      2459379.537    	0.004          	etd            	CoRoT-11b_2616_2021-06-14_1623662359_Jean_Plazas
CoRoT-11b      2459415.472    	0.003          	exoclock       	CoRoT-11b_2628_2021-07-19_Planewave_CDK24_R_Leon_Bewersdorff
CoRoT-11b      2459415.4739   	0.0016         	exoclock       	CoRoT-11b_2628_2021-07-19_Private_Observatory_(I64)_Lum_Adrian_Jones
CoRoT-11b      2459418.464    	0.004          	exoclock       	CoRoT-11b_2629_2021-07-22_Private_Observatory_(I64)_R_Adrian_Jones
CoRoT-11b      2459433.4374   	0.0009         	exoclock       	CoRoT-11b_2634_2021-08-06_Rasteau_Observatory_Lum_Yves_Jongen
CoRoT-11b      2459436.4379   	0.0013         	exoclock       	CoRoT-11b_2635_2021-08-09_Rasteau_Observatory_Lum_Yves_Jongen
CoRoT-11b      2459439.424    	0.004          	exoclock       	CoRoT-11b_2636_2021-08-12_GALHassin_Robotic_Telescope_2_(GRT2)_g_Carmelo_Falco
CoRoT-11b      2459439.426    	0.006          	exoclock       	CoRoT-11b_2636_2021-08-12_Artemis_Observatory_R_Dimitrios_Deligeorgopoulos
CoRoT-11b      2459439.427    	0.003          	exoclock       	CoRoT-11b_2636_2021-08-12_GAL_Hassin_Robotic_Telescope_2_(GRT2)_-_Multiband_R_Carmelo_Falco
CoRoT-11b      2459439.432    	0.003          	exoclock       	CoRoT-11b_2636_2021-08-12_Burnham_Observatory_R_Martin_Valentine_Crow
CoRoT-11b      2459445.426    	0.006          	exoclock       	CoRoT-11b_2638_2021-08-18_Rasteau_Observatory_Lum_Yves_Jongen
CoRoT-11b      2459448.409    	0.0019         	exoclock       	CoRoT-11b_2639_2021-08-21_GALHassin_Robotic_Telescope_2_(GRT2)_g_Carmelo_Falco
CoRoT-11b      2459448.411    	0.003          	exoclock       	CoRoT-11b_2639_2021-08-21_Claudio_Lopresti_Lum_Claudio_Lopresti
CoRoT-11b      2459451.404    	0.003          	exoclock       	CoRoT-11b_2640_2021-08-24_GALHassin_Robotic_Telescope_2_(GRT2)_g_Carmelo_Falco
CoRoT-11b      2459454.3964   	0.0014         	exoclock       	CoRoT-11b_2641_2021-08-27_GALHassin_Robotic_Telescope_2_(GRT2)_R_Carmelo_Falco
CoRoT-11b      2459454.4017   	0.0018         	exoclock       	CoRoT-11b_2641_2021-08-27_Private_Observatory_(I64)_Lum_Adrian_Jones
CoRoT-11b      2459457.39     	0.006          	exoclock       	CoRoT-11b_2642_2021-08-30_Claudio_Lopresti_Lum_Claudio_Lopresti
CoRoT-11b      2459457.394    	0.003          	exoclock       	CoRoT-11b_2642_2021-08-30_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
CoRoT-11b      2459460.388    	0.006          	exoclock       	CoRoT-11b_2643_2021-09-02_Claudio_Lopresti_Lum_Claudio_Lopresti
CoRoT-11b      2459466.371    	0.004          	exoclock       	CoRoT-11b_2645_2021-09-08_Cavallino_Lum_Mauro_Caló
CoRoT-11b      2459487.3346   	0.0019         	exoclock       	CoRoT-11b_2652_2021-09-29_Hampshire_Astronomical_Group,_Clanfield_R_Stephen_Roy_Lewis_Futcher
CoRoT-19b      2455261.3383   	0.0013         	literature     	2012A&A...537A.136G
CoRoT-19b      2455265.239    	0.0017         	literature     	2012A&A...537A.136G
CoRoT-19b      2455269.1327   	0.0016         	literature     	2012A&A...537A.136G
CoRoT-19b      2455273.031    	0.0012         	literature     	2012A&A...537A.136G
CoRoT-19b      2455276.9265   	0.0014         	literature     	2012A&A...537A.136G
CoRoT-19b      2455280.8211   	0.0016         	literature     	2012A&A...537A.136G
CoRoT-19b      2455284.7225   	0.0021         	literature     	2012A&A...537A.136G
CoRoT-19b      2455627.6713   	0.0022         	literature     	2012A&A...537A.136G
CoRoT-19b      2458468.6886   	0.0046         	space          	CoRoT-19b_1776_2018-12-16_TESS
CoRoT-19b      2458472.5797   	0.0036         	space          	CoRoT-19b_1777_2018-12-20_TESS
CoRoT-19b      2458476.4759   	0.0069         	space          	CoRoT-19b_1778_2018-12-23_TESS
CoRoT-19b      2458480.363    	0.012          	space          	CoRoT-19b_1779_2018-12-27_TESS
CoRoT-19b      2458484.2758   	0.0043         	space          	CoRoT-19b_1780_2018-12-31_TESS
CoRoT-19b      2458488.1626   	0.006          	space          	CoRoT-19b_1781_2019-01-04_TESS
CoRoT-19b      2459205.2445   	0.0047         	space          	CoRoT-19b_1965_2020-12-21_TESS
CoRoT-19b      2459209.1374   	0.0035         	space          	CoRoT-19b_1966_2020-12-25_TESS
CoRoT-19b      2459216.9336   	0.0046         	space          	CoRoT-19b_1968_2021-01-02_TESS
CoRoT-19b      2459220.8171   	0.0099         	space          	CoRoT-19b_1969_2021-01-06_TESS
CoRoT-19b      2459224.7309   	0.0069         	space          	CoRoT-19b_1970_2021-01-10_TESS
EPIC211945201b 2457197.80911  	0.00093        	space          	EPIC211945201b_290_2015-06-24_K2
EPIC211945201b 2458133.4327   	0.001          	space          	EPIC211945201b_338_2018-01-14_K2
EPIC211945201b 2458152.92417  	0.00059        	space          	EPIC211945201b_339_2018-02-03_K2
