83;56130.46207;0.00185;589;-0.0058;172.3;6.3;19.7;1.7;V;4;Emering F.;TRESCA;2012-07-25;
82;56106.81466;0.00127;583;-0.0041;189.1;4.4;23.8;1.2;Clear;3;Mitchell D.;TRESCA;2012-08-29;
81;56106.8112;0.00105;583;-0.0076;185;3.5;23.9;1.1;R;3;Curry S.;TRESCA;2012-07-13;
80;56067.40002;0.00061;573;-0.0036;176.3;2;22.9;0.7;R;2;Poddaný S.;TRESCA;2012-05-20;
79;56063.45911;0.00063;572;-0.0030;182.8;2.2;21.3;0.5;Clear;2;Carre&#241;o A.;TRESCA;2012-05-21;
78;56063.45545;0.00108;572;-0.0067;177;4;40.1;2;V;3;Horta F. G.;TRESCA;2012-05-19;
77;56059.51853;0.00057;571;-0.0021;180.6;2;22.2;0.7;R;2;Ramon Naves;TRESCA;2018-12-11;
76;56059.51803;0.00054;571;-0.0026;180.7;2;22.6;0.6;R;2;Naves R.;TRESCA;2012-05-19;
75;56043.75024;0.00061;567;-0.0043;177.4;1.9;23.2;3.2;R;1;Harrison S., Michaels Y., Weiler N.;TRESCA;2012-05-09;
74;55984.62684;0.00061;552;-0.0050;172.5;2.1;24.5;1.2;Clear;2;Trnka J.;TRESCA;2012-02-29;
73;55728.42967;0.00069;487;-0.0039;174.3;2.2;22;3.3;Clear;2;Világi J., Kornoš L.;TRESCA;2011-07-26;
72;55712.66353;0.00077;483;-0.0040;174.7;2.6;24.5;0.9;V;3;Dvorak S.;TRESCA;2011-06-05;
71;55700.84012;0.00053;480;-0.0028;177;1.9;22.6;0.5;I;2;Shadic S., Shiels Ch.;TRESCA;2012-04-16;
70;55653.54178;0.00056;468;-0.0030;177.7;2;21.5;0.7;R;2;Naves R.;TRESCA;2011-04-08;
69;55653.54112;0.00087;468;-0.0037;172;3;23;0.8;Clear;2;Nicolas E.;TRESCA;2011-04-08;
68;55629.89185;0.00041;462;-0.0039;178.2;1.5;22.4;0.4;Clear;2;Shadic S.;TRESCA;2011-03-14;
67;55369.7544;0.0007;396;-0.0015;175.8;1.8;23.2;0.4;I;3;Gary B.;AXA;2010-06-24;
66;55369.7528;0.0007;396;-0.0031;171.6;1.8;24.1;0.5;I;3;Gary B.;AXA;2010-06-25;
65;55365.8114;0.0005;395;-0.0030;174;1.2;23.7;0.3;cbb;3;Gary B.;AXA;2010-06-24;
64;55314.57229;0.00097;382;-0.0024;;;24.7;1.7;Clear;5;Trnka J.;TRESCA;2010-04-28;
63;55306.6884;0.00076;380;-0.0033;;;23.5;1.3;R;5;Shadick S.;TRESCA;2010-04-30;
62;55302.7452;0.0013;379;-0.0050;;;23.5;0.9;cbb;5;Gary B.;AXA;2010-04-22;
61;55298.8052;0.0006;378;-0.0035;176.4;1.8;32.7;0.6;R;3;Gary B.;AXA;2010-04-22;
60;55290.9227;0.0006;376;-0.0029;174.6;1.8;21.7;4;I;3;Gary B.;AXA;2010-04-22;
59;55101.7306;0.0008;328;-0.0024;;;;;I;5;Gary B.;AXA;2010-04-22;
58;55062.3115;0.0008;318;-0.0064;175.2;2.4;23;0.5;R;5;Srdoc;AXA;2009-10-28;
57;55058.3761;0.001;317;-0.0003;177;3;22.5;0.53;R;3;Srdoc;AXA;2009-08-20;
56;55026.8422;0.0013;309;-0.0021;174.6;3.6;23.3;0.53;Clear;5;Littlefield;AXA;2009-08-06;
55;55026.841;0.0014;309;-0.0033;174;3.6;23.45;0.55;R;5;Wiggins;AXA;2009-08-06;
